Gene Name ,Gene Symbol,RasYki_D8_v_PtcG4_D6_baseMeanCount,RasYki_D8_v_PtcG4_D6 log2FoldChange,P value (adj),Fer12OG_D8_v_PtcG4_D6_baseMeanCount,Fer12OG_D8_v_PtcG4_D6_log2FoldChange,P value (adj)
Eig71Ea,FBgn0004588,896.8050346,-5.833595167,0.007025242,896.8050346,-4.405743981,0.031197175
Ldh,FBgn0001258,933.5338827,-5.609389407,0.000204715,933.5338827,-3.189731379,0.029192734
Fatp3,FBgn0034999,1862.564171,-5.572637191,0.000667666,1862.564171,-5.668878682,7.58E-05
CG14356,FBgn0038207,186.0692722,-5.431855202,0.000255288,186.0692722,-5.053748322,0.000113285
msi,FBgn0011666,381.564014,-5.414857456,4.31E-10,381.564014,-5.129906832,1.07E-11
PSMG1,FBgn0037378,1011.62591,-5.41275277,1.80E-05,1011.62591,-5.31129577,1.45E-06
CG17036,FBgn0032449,57.39607808,-5.319072092,0.003626588,57.39607808,-5.188610929,0.001393481
chrb,FBgn0036165,489.8580966,-5.312658409,2.30E-06,489.8580966,-3.96919299,9.85E-05
Eig71Eb,FBgn0004589,786.2045672,-5.209506729,0.018224762,786.2045672,-5.097093953,0.010660018
CG7272,FBgn0036501,1686.50334,-5.18964475,0.000427254,1686.50334,-5.15718778,6.65E-05
CG6287,FBgn0032350,740.3610473,-5.143829473,0.000214909,740.3610473,-4.319862971,0.000510638
b,FBgn0000153,73.97521847,-5.104725303,0.001928116,73.97521847,-5.676267538,9.55E-05
lncRNA:CR43301,FBgn0262993,290.629684,-4.945483169,0.002595947,290.629684,-6.469438828,3.85E-06
CG4496,FBgn0031894,203.2531415,-4.907335537,0.001927806,203.2531415,-5.145971539,0.000184711
Pcif1,FBgn0037021,2004.51093,-4.889303792,4.48E-06,2004.51093,-4.745037998,2.83E-07
Cln7,FBgn0035767,569.6300488,-4.879869394,0.000318502,569.6300488,-4.029289982,0.000942234
CG13917,FBgn0035237,3434.35649,-4.800587888,1.19E-07,3434.35649,-4.428588749,2.51E-08
CG4269,FBgn0034741,426.3392381,-4.758334755,0.008528366,426.3392381,-6.065828403,9.16E-05
CG33099,FBgn0053099,106.7820342,-4.721790698,4.20E-05,106.7820342,-2.359918468,0.03485274
CG1218,FBgn0037377,371.9170475,-4.693979708,8.88E-07,371.9170475,-4.569398404,3.08E-08
Prip,FBgn0033635,497.6204884,-4.633061456,0.001381444,497.6204884,-4.304882215,0.000758261
fax,FBgn0014163,1003.901432,-4.629767809,0.002596084,1003.901432,-3.689611387,0.009528797
l(1)G0469,FBgn0040153,3303.19113,-4.612258321,0.006073159,3303.19113,-4.651017668,0.001735313
CG11034,FBgn0031741,80.26074526,-4.60418513,0.011599687,80.26074526,-4.255325849,0.010423848
comm3,FBgn0259236,1163.93399,-4.591694229,0.019799144,1163.93399,-7.013890936,2.23E-05
Orct,FBgn0019952,1504.255332,-4.549233365,0.001595163,1504.255332,-4.082912995,0.001463805
CG43389,FBgn0263246,73.41636711,-4.496337644,0.008277087,73.41636711,-4.061095457,0.008821666
Jupiter,FBgn0051363,1652.430649,-4.421182515,1.19E-07,1652.430649,-3.970319652,6.71E-08
MESR6,FBgn0036846,772.5972476,-4.404957504,0.000203942,772.5972476,-4.003455243,0.000131784
CRMP,FBgn0023023,622.4175764,-4.399230472,0.000740702,622.4175764,-3.62990193,0.002014256
Oscillin,FBgn0031717,502.0861796,-4.283171096,0.001674157,502.0861796,-3.058725154,0.016898246
RhoGEF64C,FBgn0035574,86.38383207,-4.264246237,2.30E-06,86.38383207,-2.826584471,0.000498663
Sox14,FBgn0005612,2714.845617,-4.179430983,0.000890171,2714.845617,-4.499306424,3.81E-05
CG8888,FBgn0033679,292.5056332,-4.178998909,0.020542983,292.5056332,-5.082787338,0.001077671
CG8031,FBgn0038110,711.5524829,-4.129616271,0.000154494,711.5524829,-3.629624558,0.00017543
bdg,FBgn0034049,992.4982709,-4.12731739,0.000424894,992.4982709,-4.642004444,3.75E-06
Eip63F-1,FBgn0004910,1844.142012,-4.096466368,0.000951866,1844.142012,-4.112948158,0.000140489
bchs,FBgn0043362,2359.331666,-4.068402061,0.002940319,2359.331666,-4.392199527,0.000206051
dpr1,FBgn0040726,103.7382418,-4.064648942,0.003179306,103.7382418,-4.495590082,0.00017543
CG32512,FBgn0052512,114.459309,-4.059758377,1.23E-05,114.459309,-2.176347032,0.013766541
Pvf3,FBgn0085407,212.8991097,-4.050472625,0.000255288,212.8991097,-3.234258658,0.001184476
brat,FBgn0010300,2200.958935,-4.015197979,0.000357845,2200.958935,-4.319975657,9.25E-06
CG4607,FBgn0029932,508.6195846,-4.004060031,0.019199088,508.6195846,-3.392501673,0.03349942
lncRNA:CR44748,FBgn0265961,55.70218003,-3.988973658,0.018405352,55.70218003,-5.983646268,9.31E-05
CG2924,FBgn0023528,2603.778793,-3.969229696,9.77E-05,2603.778793,-3.649325035,5.35E-05
CG43867,FBgn0264449,416.4705789,-3.967734616,0.000134302,416.4705789,-3.351229549,0.000290397
CG11170,FBgn0034705,165.0102892,-3.928315253,0.001636543,165.0102892,-3.402459615,0.002310609
CG8180,FBgn0034021,1135.186949,-3.921013348,0.001819569,1135.186949,-4.373108599,5.93E-05
CG12224,FBgn0037974,87.99483536,-3.914571947,0.01103637,87.99483536,-3.333605174,0.018835476
uif,FBgn0031879,550.524954,-3.889508691,0.00302198,550.524954,-2.814892227,0.023234815
rpr,FBgn0011706,94.51294831,-3.863657079,0.004092805,94.51294831,-4.28774166,0.00028422
CG5346,FBgn0038981,701.764705,-3.851898011,8.17E-05,701.764705,-4.194786748,5.23E-07
CG7841,FBgn0036502,125.4142301,-3.834921717,0.001231516,125.4142301,-4.129319661,7.45E-05
CG30344,FBgn0050344,1883.700349,-3.821121933,0.003179306,1883.700349,-3.240611064,0.006204988
CG13101,FBgn0032084,273.8611015,-3.766163097,0.039204215,273.8611015,-3.889053514,0.018790395
Traf4,FBgn0026319,533.5286247,-3.725350036,0.01103637,533.5286247,-4.313724732,0.00066633
Plzf,FBgn0032401,80.61944488,-3.719588187,0.002459988,80.61944488,-4.071503125,0.000148432
E23,FBgn0020445,464.4590641,-3.689815246,0.00106732,464.4590641,-3.726942905,0.000147813
CG16826,FBgn0032505,56.77211363,-3.601943823,0.027656717,56.77211363,-3.43793164,0.022461928
cue,FBgn0011204,2894.991835,-3.589190672,0.019831061,2894.991835,-3.791052045,0.005615414
CG15097,FBgn0034396,411.2961787,-3.543234457,0.005443298,411.2961787,-4.514113022,3.73E-05
ZnT41F,FBgn0025693,251.280655,-3.474030689,0.001987471,251.280655,-4.372480531,5.24E-06
cer,FBgn0034443,941.8916092,-3.467191942,0.00350327,941.8916092,-3.748900842,0.000267822
CG4928,FBgn0027556,5369.449127,-3.467021138,0.018248847,5369.449127,-3.567473044,0.006518346
CG17754,FBgn0030114,3364.119401,-3.458786333,0.027656717,3364.119401,-4.195965993,0.001994747
Oat,FBgn0022774,203.9757192,-3.416523524,0.037047208,203.9757192,-4.031620381,0.005245675
CG10413,FBgn0032689,3177.773813,-3.383375734,0.00487212,3177.773813,-3.731132624,0.00032949
Akr1B,FBgn0086254,440.4343048,-3.364980029,0.001082931,440.4343048,-4.00259228,5.26E-06
Sply,FBgn0010591,1251.491167,-3.313364384,0.001382034,1251.491167,-3.427845314,0.000140221
CG8223,FBgn0037624,108.3036933,-3.306322651,0.000663921,108.3036933,-1.925064151,0.040011031
slmb,FBgn0283468,2335.34931,-3.288016774,0.00060295,2335.34931,-3.086052972,0.000242015
slow,FBgn0035539,539.802654,-3.277276771,0.033643682,539.802654,-3.34669731,0.016828806
Ypel,FBgn0030183,546.4297919,-3.241317312,0.009396379,546.4297919,-3.324573316,0.002617075
Tbc1d22,FBgn0038855,809.885701,-3.230350507,0.011826197,809.885701,-3.723083603,0.000807125
Rip11,FBgn0027335,1054.932524,-3.177049808,0.005502482,1054.932524,-3.704970324,0.000167073
meso18E,FBgn0040089,101.0844084,-3.169735675,7.93E-06,101.0844084,-2.535185857,7.31E-05
bip1,FBgn0026263,84.91356231,-3.157655397,0.000208036,84.91356231,-2.60268047,0.000606106
stg,FBgn0003525,143.5715929,-3.153020364,0.0229644,143.5715929,-3.060036701,0.015572399
Eip74EF,FBgn0000567,6397.798599,-3.130671184,0.006073159,6397.798599,-2.356948568,0.029178025
cni,FBgn0000339,524.1819202,-3.103942202,0.000266972,524.1819202,-2.919888237,0.00010259
pes,FBgn0031969,279.071756,-3.081507603,0.000499725,279.071756,-3.610404657,1.84E-06
Atg13,FBgn0261108,654.463541,-3.066276813,0.00053493,654.463541,-2.742693456,0.000472801
mdy,FBgn0004797,596.2970118,-3.050321494,0.00387554,596.2970118,-3.360543728,0.000238919
not,FBgn0013717,199.1722388,-2.967072799,1.76E-05,199.1722388,-2.584538398,2.84E-05
dco,FBgn0002413,1942.937262,-2.962780375,0.017660226,1942.937262,-3.390675499,0.001793944
Eip75B,FBgn0000568,4444.22594,-2.909954009,0.007059323,4444.22594,-3.078777747,0.001134056
CG32100,FBgn0052100,212.7744138,-2.881200749,0.006112388,212.7744138,-3.195458174,0.000481131
mop,FBgn0036448,4613.152776,-2.838506831,0.001636543,4613.152776,-2.542499007,0.001540813
CG13252,FBgn0037016,806.4638852,-2.830062818,0.00205926,806.4638852,-2.228006986,0.008747749
Gcna,FBgn0023515,132.0871611,-2.824592427,0.000736257,132.0871611,-2.884994013,8.34E-05
CG31637,FBgn0051637,636.4883455,-2.809124858,0.000255288,636.4883455,-2.278252508,0.000988962
Coop,FBgn0263240,177.7550456,-2.800265144,0.0009577,177.7550456,-2.029126564,0.010073682
sktl,FBgn0016984,3375.545103,-2.795715786,0.010194174,3375.545103,-2.888207799,0.002654186
Cht11,FBgn0029913,93.07392023,-2.794745981,0.007683876,93.07392023,-2.639263933,0.00530723
Acbp1,FBgn0031992,518.6718055,-2.757161942,8.17E-05,518.6718055,-2.409535485,0.000108489
CG11275,FBgn0034706,486.2170384,-2.741992007,0.005648385,486.2170384,-2.954899699,0.00062602
dmGlut,FBgn0010497,538.4846117,-2.741407506,0.027220205,538.4846117,-3.530055747,0.000875181
CG9801,FBgn0037623,368.5057661,-2.719251084,0.027055917,368.5057661,-3.071838132,0.004632629
CG34348,FBgn0085377,190.0255119,-2.715470931,0.00387554,190.0255119,-3.138376776,0.000117218
Dark,FBgn0263864,217.392556,-2.708976078,0.002287921,217.392556,-1.832967814,0.030630369
CG17834,FBgn0028394,512.6144626,-2.679894853,0.007025242,512.6144626,-3.799345839,5.32E-06
Paip2,FBgn0038100,2427.222861,-2.664562202,0.009001287,2427.222861,-3.073584392,0.000484893
brn,FBgn0000221,168.1260715,-2.65031148,0.01643889,168.1260715,-2.754509812,0.005242076
CG9003,FBgn0033639,912.0940047,-2.62793991,0.0076286,912.0940047,-3.4950154,3.09E-05
form3,FBgn0053556,194.2319868,-2.602110085,7.87E-06,194.2319868,-1.839405755,0.000527374
Apc2,FBgn0026598,106.0452685,-2.592181352,0.009600048,106.0452685,-2.550622769,0.004621442
mnb,FBgn0259168,2274.620225,-2.5787784,0.047283891,2274.620225,-4.017136988,0.0001963
Gdap2,FBgn0042135,2308.741103,-2.576810775,0.007088713,2308.741103,-2.847210859,0.000616694
osp,FBgn0003016,676.4362885,-2.561007933,0.000113664,676.4362885,-2.380789419,5.34E-05
CG32137,FBgn0052137,1700.740771,-2.531311737,0.010506927,1700.740771,-3.299864115,8.55E-05
Svil,FBgn0266696,4193.629128,-2.525263179,0.017889647,4193.629128,-2.950059241,0.001393481
LKRSDH,FBgn0286198,903.2075143,-2.519188626,0.034332914,903.2075143,-2.418216651,0.027401349
CG43658,FBgn0263706,560.9810171,-2.508047398,0.000110847,560.9810171,-2.625496884,3.02E-06
B4,FBgn0023407,689.5754649,-2.501972165,0.000570897,689.5754649,-2.069603617,0.001519901
CG8839,FBgn0033717,2253.429258,-2.498036641,0.00189308,2253.429258,-2.040646431,0.005458848
cert,FBgn0027569,1931.968195,-2.495877146,0.039597214,1931.968195,-2.463523366,0.026562753
crb,FBgn0259685,4810.145677,-2.492896119,0.01274612,4810.145677,-2.849014017,0.001016169
CG5510,FBgn0039160,736.0943502,-2.485445661,0.01103637,736.0943502,-1.915448667,0.038901441
Atg7,FBgn0034366,426.741271,-2.475077778,0.01764592,426.741271,-2.407178743,0.010800874
Ing5,FBgn0032516,289.4391878,-2.46680573,0.00387554,289.4391878,-2.152148677,0.005687442
Tet,FBgn0263392,378.6440351,-2.462444142,0.028991446,378.6440351,-2.520764335,0.013332422
CG18528,FBgn0039189,97.87659001,-2.429836537,0.003316593,97.87659001,-1.938603553,0.011329227
CG13807,FBgn0035323,168.7592391,-2.427563285,0.001321928,168.7592391,-2.112749963,0.001795453
CG2865,FBgn0023526,314.3820432,-2.42083903,0.02262142,314.3820432,-3.142627711,0.000522402
Wdr62,FBgn0031374,1436.791256,-2.420629567,6.30E-05,1436.791256,-2.688571667,1.81E-07
tamo,FBgn0041582,436.8444643,-2.410802549,0.027007087,436.8444643,-3.538463797,0.000108489
nmo,FBgn0011817,603.069268,-2.409657846,0.00686576,603.069268,-2.883367357,0.000162311
jing,FBgn0086655,449.7043387,-2.363869109,0.003437441,449.7043387,-2.161992696,0.002924751
ari-2,FBgn0025186,550.597482,-2.358460213,0.005599073,550.597482,-2.259222996,0.003047973
kdn,FBgn0261955,2602.339625,-2.344737262,0.007782838,2602.339625,-2.462360838,0.001472432
Kdm3,FBgn0037703,136.7253006,-2.339657925,0.001723303,136.7253006,-2.725061901,2.55E-05
CG6656,FBgn0038912,240.7467088,-2.339399665,0.003888495,240.7467088,-1.66982071,0.030753113
CG42240,FBgn0250869,410.0332843,-2.336457119,0.0415918,410.0332843,-3.023740307,0.002168968
Cul3,FBgn0261268,1896.618158,-2.33383937,0.000572867,1896.618158,-2.212405088,0.000195083
CG9005,FBgn0033638,791.2772414,-2.328681396,0.002048422,791.2772414,-2.369214901,0.000319247
pigs,FBgn0029881,483.0266734,-2.324624007,0.004220677,483.0266734,-2.494598676,0.000432212
GstO3,FBgn0035904,286.8133765,-2.297214441,0.001813185,286.8133765,-2.509858464,8.48E-05
RhoGAP71E,FBgn0036518,892.6489353,-2.289023663,0.025380698,892.6489353,-2.937184302,0.000784687
Pez,FBgn0031799,766.6267026,-2.287727255,0.000692199,766.6267026,-2.279186881,0.000110347
RASSF8,FBgn0261986,645.7783088,-2.277713804,0.003877348,645.7783088,-2.595226906,0.000140933
CG10681,FBgn0036291,53.94393499,-2.272837809,0.009085525,53.94393499,-2.172183592,0.005899968
CG1806,FBgn0030360,55.14201417,-2.264923601,0.016063822,55.14201417,-2.401555912,0.004527096
CG8176,FBgn0037702,1314.570895,-2.253819142,0.001606187,1314.570895,-2.491765833,5.51E-05
Cip4,FBgn0035533,1467.796483,-2.251233459,0.001409832,1467.796483,-2.211722252,0.000326589
CG3529,FBgn0035995,2089.845212,-2.244881667,0.040407198,2089.845212,-2.173514574,0.030645063
Snp,FBgn0265192,697.2638665,-2.233334268,0.041091698,697.2638665,-2.235016841,0.025484751
Hr39,FBgn0261239,1325.688554,-2.223182811,0.0076286,1325.688554,-3.484945354,3.25E-07
Hr78,FBgn0015239,1892.000632,-2.184429186,0.011372364,1892.000632,-1.785896274,0.027585192
nonA-l,FBgn0015520,167.610902,-2.181552353,0.003453567,167.610902,-2.342522264,0.000311317
Cul5,FBgn0039632,657.8898769,-2.181394894,0.00690179,657.8898769,-2.304023793,0.001131212
Xpac,FBgn0004832,110.5949314,-2.180390102,0.003058301,110.5949314,-2.199032061,0.000708385
mrj,FBgn0034091,899.9164903,-2.174549389,0.004954126,899.9164903,-2.114662851,0.002127683
CG4080,FBgn0035983,840.53646,-2.16734403,0.030389019,840.53646,-2.95342952,0.000496099
CG4497,FBgn0031895,138.2449612,-2.156508724,0.005366384,138.2449612,-2.490804952,0.000203672
Myo61F,FBgn0010246,1312.829134,-2.148899479,0.040926996,1312.829134,-2.162760111,0.024239715
BicD,FBgn0000183,860.6209291,-2.146120683,0.000208036,860.6209291,-1.649300934,0.001747243
CG7656,FBgn0036516,1458.77123,-2.143449749,0.003637252,1458.77123,-1.586727423,0.023131309
RYBP,FBgn0034763,543.8591864,-2.136774134,0.005031584,543.8591864,-2.0894381,0.002020147
Pdk1,FBgn0020386,1769.547708,-2.135115115,0.003774163,1769.547708,-2.597924053,4.22E-05
cib,FBgn0026084,12856.64645,-2.132888291,0.007496971,12856.64645,-1.788139905,0.015691843
CG6891,FBgn0030955,2581.645917,-2.097168871,0.004923166,2581.645917,-2.471294548,0.00011449
gish,FBgn0250823,1817.389622,-2.091168616,0.022869343,1817.389622,-2.483026605,0.001795453
siz,FBgn0026179,2358.169947,-2.068010388,0.026087398,2358.169947,-1.738727281,0.046032997
Akap200,FBgn0027932,9853.756126,-2.044447924,0.006583955,9853.756126,-1.830784928,0.007512401
CG9485,FBgn0034618,190.2255173,-2.041400898,0.036379584,190.2255173,-1.87586479,0.038344131
Uvrag,FBgn0032499,497.1919171,-2.026643303,0.042423125,497.1919171,-2.171426385,0.01577628
CG4041,FBgn0029736,1174.030906,-2.002655615,0.019566386,1174.030906,-1.750288988,0.028236175
Drip,FBgn0015872,1348.654391,-1.998670937,0.01033394,1348.654391,-3.085703948,1.59E-06
GEFmeso,FBgn0050115,1852.994228,-1.986383742,0.040546907,1852.994228,-2.159217725,0.012855365
Drep4,FBgn0028406,78.78417611,-1.970894977,0.01115637,78.78417611,-2.195632406,0.001341507
alt,FBgn0038535,5683.902429,-1.952514678,0.026248278,5683.902429,-1.881179444,0.019145779
CG31224,FBgn0051224,1538.076367,-1.951495335,0.011543685,1538.076367,-1.762500405,0.012855365
mub,FBgn0262737,1003.166514,-1.910350454,0.001391901,1003.166514,-1.868600077,0.000347202
CG13531,FBgn0034786,1150.360088,-1.901096009,0.0340395,1150.360088,-1.700269858,0.041680509
ssp3,FBgn0032723,331.7610815,-1.896137305,0.037099003,331.7610815,-2.130599179,0.008451219
blot,FBgn0027660,2539.134636,-1.86605899,0.033321843,2539.134636,-1.772954861,0.028261736
CG4502,FBgn0031896,139.2777966,-1.858452932,0.001002324,139.2777966,-1.671398133,0.000895846
heph,FBgn0011224,907.892644,-1.852806131,0.017668576,907.892644,-1.853639338,0.008396196
Abp1,FBgn0036372,399.5919798,-1.847352002,0.000208036,399.5919798,-1.797644269,4.38E-05
Nuak,FBgn0262617,453.6282055,-1.842521414,0.016034652,453.6282055,-1.834351566,0.007709815
CG15601,FBgn0030673,85.18870117,-1.840648979,0.014885103,85.18870117,-2.132560526,0.001296949
Dronc,FBgn0026404,194.9093347,-1.838245075,0.003778472,194.9093347,-2.347523287,1.78E-05
gpp,FBgn0264495,1334.29048,-1.800320602,0.002404085,1334.29048,-1.521528757,0.004943219
pen-2,FBgn0053198,92.36827689,-1.787813859,0.017545065,92.36827689,-1.913345628,0.004392375
Kr-h1,FBgn0266450,442.509608,-1.749574974,0.001937998,442.509608,-1.463142875,0.004527096
Svip,FBgn0052039,227.6393387,-1.741518981,0.043566267,227.6393387,-1.625228414,0.042128858
CG3223,FBgn0037538,231.8742,-1.738612968,0.005146113,231.8742,-1.649292284,0.003182042
NAT1,FBgn0010488,8084.829936,-1.737752356,0.013251222,8084.829936,-1.597780004,0.012759855
Hrb87F,FBgn0004237,2735.90706,-1.729328198,0.001256678,2735.90706,-1.749787031,0.000176248
Sap30,FBgn0030788,354.0602348,-1.665702766,0.008048916,354.0602348,-1.430882797,0.013724025
MED16,FBgn0034707,287.3546774,-1.658924682,0.022376816,287.3546774,-1.476380083,0.028467726
mt:ND1,FBgn0013679,2713.062372,-1.650275929,2.30E-06,2713.062372,-1.895503673,8.51E-11
CG4603,FBgn0035593,289.0872524,-1.645601893,0.007346175,289.0872524,-1.405299507,0.013158499
CG6005,FBgn0038672,54.38789423,-1.643710098,0.040926996,54.38789423,-1.925488884,0.007646529
Prosap,FBgn0040752,1673.948022,-1.63485919,0.02065704,1673.948022,-2.424364464,4.38E-05
S6kII,FBgn0262866,409.8999434,-1.614085063,0.025380698,409.8999434,-1.472776149,0.027820736
app,FBgn0260941,603.5977542,-1.613890926,0.003639935,603.5977542,-1.78430499,0.000203672
pico,FBgn0261811,965.3964512,-1.584669705,0.016509709,965.3964512,-1.60741359,0.006658825
Pex3,FBgn0036484,682.0458802,-1.540562704,0.035947025,682.0458802,-1.438794192,0.033951501
tant,FBgn0028980,184.6453991,-1.502702678,0.009943892,184.6453991,-1.734373142,0.00062602
Drice,FBgn0019972,383.8003758,-1.486866034,0.008030471,383.8003758,-1.577826936,0.001393481
kuz,FBgn0259984,519.3456921,-1.484933548,0.017545065,519.3456921,-1.797088978,0.00085028
mthl4,FBgn0034219,324.2434006,-1.4725843,0.042089318,324.2434006,-1.611914266,0.013058646
Dyrk3,FBgn0027101,995.7034342,-1.461259946,0.002048422,995.7034342,-1.423056588,0.000651077
CG45050,FBgn0266410,4136.091608,-1.455469818,0.039164683,4136.091608,-1.771280243,0.004001882
Cortactin,FBgn0025865,625.8901855,-1.454746404,0.01328284,625.8901855,-1.630106525,0.001492732
kat80,FBgn0040207,661.3120857,-1.453305688,0.014154653,661.3120857,-1.761735974,0.000537911
pum,FBgn0003165,902.3937965,-1.429237113,0.047879232,902.3937965,-1.908690446,0.002014256
CG14710,FBgn0037920,70.16764482,-1.41527897,0.002961813,70.16764482,-1.580575661,0.000184711
mt:ND5,FBgn0013684,1635.768597,-1.413989166,7.13E-06,1635.768597,-1.421858606,1.81E-07
rdx,FBgn0264493,742.2976611,-1.413056892,0.008688977,742.2976611,-1.434936153,0.002717614
spas,FBgn0039141,591.4522193,-1.402999322,0.022650026,591.4522193,-1.642086753,0.002168968
